"site","date","survey_time","start_time","end_time","duration_min","time_of_capture","species_capture","capture_type","life_stage","sex","snout_vent_length","body_mass"
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","12:13:00",plethodon cinereus,,adult,,,
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","12:26:00",desmognathus ochrophaeus,,adult,unknown,63.6,0.6
tryon-weber,2022-06-23,night,"21:48:00","22:27:00","39","21:56:00",rana clamitans,,adult,female,55.1,14.55
tryon-weber,2022-06-23,night,"21:48:00","22:27:00","39","21:47:00",eurycea bislineata,,adult,unknown,,
vorisek pond,2022-06-27,night,"22:34:00","23:58:00","84","22:38:00",rana clamitans,,adult,female,,
vorisek pond,2022-06-27,night,"22:34:00","23:58:00","84","22:39:00",rana catesbeiana,new,juvenile,unknown,53.0,16.3
vorisek pond,2022-06-27,night,"22:34:00","23:58:00","84","22:50:00",rana catesbeiana,new,juvenile,unknown,53.6,17.8
vorisek pond,2022-06-27,night,"22:34:00","23:58:00","84","22:55:00",rana clamitans,,adult,male,,
vorisek pond,2022-06-27,night,"22:34:00","23:58:00","84","23:03:00",rana catesbeiana,new,adult,female,96.4,103.5
vorisek pond,2022-06-27,night,"22:34:00","23:58:00","84","23:06:00",rana catesbeiana,new,juvenile,unknown,60.2,17.5
vorisek pond,2022-06-27,night,"22:34:00","23:58:00","84","23:25:00",rana catesbeiana,new,adult,female,82.6,59.7
vorisek pond,2022-06-27,night,"22:34:00","23:58:00","84","22:38:00",rana catesbeiana,new,adult,female,84.3,60.9
vorisek pond,2022-06-27,night,"22:34:00","23:58:00","84","22:41:00",rana catesbeiana,new,juvenile,unknown,49.1,14.3
vorisek pond,2022-06-27,night,"22:34:00","23:58:00","84","22:45:00",rana clamitans,,adult,male,,
vorisek pond,2022-06-27,night,"22:34:00","23:58:00","84","22:55:00",rana clamitans,,adult,male,,
vorisek pond,2022-06-27,night,"22:34:00","23:58:00","84","23:19:00",rana catesbeiana,new,juvenile,unknown,55.6,16.6
vorisek pond,2022-06-27,night,"22:34:00","23:58:00","84","23:26:00",rana catesbeiana,new,juvenile,unknown,49.5,15.2
vorisek pond,2022-06-27,night,"22:34:00","23:58:00","84","23:36:00",rana catesbeiana,new,adult,female,86.5,65.1
vorisek pond,2022-06-27,night,"22:34:00","23:58:00","84","22:45:00",rana clamitans,,adult,male,,
vorisek pond,2022-06-27,night,"22:34:00","23:58:00","84","22:51:00",rana clamitans,,adult,female,,
vorisek pond,2022-06-27,night,"22:34:00","23:58:00","84","22:55:00",rana catesbeiana,new,adult,male,108.1,129.4
vorisek pond,2022-06-27,night,"22:34:00","23:58:00","84","23:11:00",rana catesbeiana,new,adult,male,106.7,116.3
vorisek pond,2022-06-27,night,"22:34:00","23:58:00","84","23:17:00",rana catesbeiana,new,juvenile,unknown,56.7,16.0
vorisek pond,2022-06-27,night,"22:34:00","23:58:00","84","23:21:00",rana catesbeiana,new,adult,female,80.0,54.0
vorisek pond,2022-06-27,night,"22:34:00","23:58:00","84","23:33:00",rana clamitans,,juvenile,unknown,,
vorisek pond,2022-06-27,night,"22:34:00","23:58:00","84","23:42:00",rana clamitans,,adult,female,,
vorisek pond,2022-06-28,night,"21:41:00",,,"21:45:00",rana catesbeiana,recapture,,,104.1,
vorisek pond,2022-06-28,night,"21:41:00",,,"21:52:00",rana clamitans,,adult,male,81.9,54.4
vorisek pond,2022-06-28,night,"21:41:00",,,"22:08:00",rana catesbeiana,recapture,,,98.7,
vorisek pond,2022-06-28,night,"21:41:00",,,"21:58:00",rana catesbeiana,new,juvenile,unknown,53.0,16.9
vorisek pond,2022-06-28,night,"21:41:00",,,"22:10:00",rana catesbeiana,new,juvenile,unknown,59.7,14.0
vorisek pond,2022-06-28,night,"21:41:00",,,"22:27:00",rana catesbeiana,recapture,adult,female,64.2,
vorisek pond,2022-06-28,night,"21:41:00",,,"23:05:00",rana catesbeiana,recapture,,,44.7,
vorisek pond,2022-06-28,night,"21:41:00",,,"21:47:00",rana catesbeiana,recapture,,,56.2,
vorisek pond,2022-06-28,night,"21:41:00",,,"21:53:00",rana catesbeiana,new,juvenile,unknown,50.9,14.2
vorisek pond,2022-06-28,night,"21:41:00",,,"22:00:00",rana catesbeiana,recapture,,,78.2,
vorisek pond,2022-06-28,night,"21:41:00",,,"22:14:00",rana catesbeiana,recapture,,,80.5,
vorisek pond,2022-06-28,night,"21:41:00",,,"22:20:00",rana catesbeiana,new,adult,female,97.4,70.4
vorisek pond,2022-06-28,night,"21:41:00",,,"22:27:00",rana catesbeiana,recapture,,,80.1,
vorisek pond,2022-06-28,night,"21:41:00",,,"22:45:00",rana catesbeiana,recapture,,,54.6,
rv pond,2022-07-11,night,"22:12:00","00:04:00","112","22:19:00",Rana catesbeiana x Rana clamitans (possibly),new,adult,female,81.2,55.6
rv pond,2022-07-11,night,"22:12:00","00:04:00","112","23:33:00",rana clamitans,,adult,male,75.6,34.8
rv pond,2022-07-11,night,"22:12:00","00:04:00","112","23:40:00",rana catesbeiana,new,juvenile,unknown,46.8,9.0
rv pond,2022-07-11,night,"22:12:00","00:04:00","112","22:15:00",rana clamitans,,adult,female,85.9,56.2
rv pond,2022-07-11,night,"22:12:00","00:04:00","112","22:17:00",rana clamitans,,adult,female,69.1,34.0
rv pond,2022-07-11,night,"22:12:00","00:04:00","112","22:52:00",hyla versicolor,,juvenile,unknown,19.0,0.4
rv pond,2022-07-11,night,"22:12:00","00:04:00","112","22:55:00",rana catesbeiana,new,adult,female,108.7,138.5
rv pond,2022-07-11,night,"22:12:00","00:04:00","112","23:13:00",rana catesbeiana,new,adult,female,111.8,177.3
rv pond,2022-07-11,night,"22:12:00","00:04:00","112","23:33:00",rana catesbeiana,new,adult,female,78.9,55.1
rv pond,2022-07-11,night,"22:12:00","00:04:00","112","23:37:00",rana catesbeiana,new,adult,female,69.7,42.2
rv pond,2022-07-11,night,"22:12:00","00:04:00","112","22:04:00",rana clamitans,,adult,male,68.6,34.0
rv pond,2022-07-11,night,"22:12:00","00:04:00","112","22:16:00",rana catesbeiana,new,adult,female,98.5,123.4
rv pond,2022-07-11,night,"22:12:00","00:04:00","112","22:35:00",rana catesbeiana,new,adult,female,76.7,47.5
rv pond,2022-07-11,night,"22:12:00","00:04:00","112","22:57:00",rana catesbeiana,new,adult,female,106.8,157.8
rv pond,2022-07-11,night,"22:12:00","00:04:00","112","23:01:00",rana catesbeiana,new,juvenile,unknown,43.0,9.7
rv pond,2022-07-11,night,"22:12:00","00:04:00","112","23:08:00",rana catesbeiana,new,adult,female,69.0,36.2
rv pond,2022-07-11,night,"22:12:00","00:04:00","112","23:16:00",rana clamitans,,juvenile,unknown,33.4,3.0
rv pond,2022-07-11,night,"22:12:00","00:04:00","112","23:19:00",rana clamitans,,adult,male,72.6,41.1
rv pond,2022-07-11,night,"22:12:00","00:04:00","112","23:30:00",rana catesbeiana,new,adult,female,84.7,62.2
rv pond,2022-07-12,night,"22:03:00","00:00:00","117","22:03:00",rana catesbeiana,new,juvenile,unknown,46.7,8.7
rv pond,2022-07-12,night,"22:03:00","00:00:00","117","22:05:00",rana catesbeiana,new,juvenile,unknown,48.1,11.0
rv pond,2022-07-12,night,"22:03:00","00:00:00","117","22:08:00",rana catesbeiana,new,juvenile,unknown,46.8,8.1
rv pond,2022-07-12,night,"22:03:00","00:00:00","117","22:10:00",rana catesbeiana,new,juvenile,unknown,47.9,8.8
rv pond,2022-07-12,night,"22:03:00","00:00:00","117","22:24:00",rana catesbeiana,new,adult,female,86.7,71.5
rv pond,2022-07-12,night,"22:03:00","00:00:00","117","22:28:00",rana catesbeiana,new,adult,female,101.0,144.2
rv pond,2022-07-12,night,"22:03:00","00:00:00","117","22:34:00",rana catesbeiana,new,adult,female,73.2,45.0
rv pond,2022-07-12,night,"22:03:00","00:00:00","117","22:48:00",rana catesbeiana,new,adult,female,90.3,107.4
rv pond,2022-07-12,night,"22:03:00","00:00:00","117","22:59:00",rana catesbeiana,new,adult,male,102.5,170.2
rv pond,2022-07-12,night,"22:03:00","00:00:00","117","23:13:00",rana catesbeiana,new,juvenile,unknown,39.8,7.5
rv pond,2022-07-12,night,"22:03:00","00:00:00","117","23:19:00",rana catesbeiana,new,adult,female,91.3,84.7
rv pond,2022-07-12,night,"22:03:00","00:00:00","117","23:36:00",rana catesbeiana,new,adult,female,83.0,76.3
rv pond,2022-07-12,night,"22:03:00","00:00:00","117","23:42:00",rana catesbeiana,recapture,adult,female,99.5,117.8
rv pond,2022-07-12,night,"22:03:00","00:00:00","117","23:55:00",rana catesbeiana,new,adult,female,129.0,287.0
